#separator:;
#html:true
#columns:German;English;Ukrainian;Example
Kontakt knüpfen mit/zu;to establish contact with;налагоджувати контакти з;Auf der IT-Messe konnte я neue Kontakte zu Entwicklern knüpfen.
in Kontakt stehen mit (+ Dat.);to be in touch with;перебувати в контакті з;Ich stehe diesbezüglich bereits in Kontakt mit dem Provider.
in Kontakt treten mit (+ Dat.);to get in touch with;вступити в контакт з, зв'язатися;Wir müssen dringend mit dem Systemadministrator in Kontakt treten.
die Kosten tragen für (+ Akk.);to bear the costs of;нести витрати за;Die Firma wird die Kosten für deine Zertifizierung tragen.
die Kosten übernehmen für (+ Akk.);to take over the costs for;брати на себе витрати за;Unser Arbeitgeber übernimmt die Kosten für das Jobticket.
in Kraft treten;to come into force/effect;набувати чинності;Die neuen Datenschutzrichtlinien treten am 1. Mai in Kraft.
Krieg führen gegen/mit/wegen;to wage war against/with/because of;вести війну проти/з/через;Die Tech-Giganten führen seit Jahren Krieg um die Marktanteile.
Kritik üben an/für;to criticize;критикувати;Der Code-Reviewer hat berechtigte Kritik an der App-Architektur geübt.
den Kürzeren ziehen;to get the short end of the stick;програти, опинитися в невигідному становищі;Ohne Backup zieht man beim Ransomware-Angriff den Kürzeren.
jemanden auf dem Laufenden halten;to keep someone updated;тримати когось в курсі справ;Bitte halte mich über den Status des Deployments auf dem Laufenden.
auf dem Laufenden sein;to be up to date;бути в курсі справ;Ich bin bezüglich der neuesten Web-Technologien immer auf dem Laufenden.
der Meinung sein;to be of the opinion;бути думки, вважати;Ich bin der Meinung, dass wir mehr Tests schreiben sollten.
in Ordnung bringen;to put in order / tidy up;приводити до ладу, виправляти;Ich werde das Chaos in den CSS-Dateien morgen in Ordnung bringen.
ein Profil anlegen;to create a profile;створювати профіль;Jeder neue User muss zuerst ein Profil auf der Webseite anlegen.
eine Prüfung bestehen;to pass an exam;скласти іспит;Er hat die AWS-Zertifizierungsprüfung erfolgreich bestanden.
durch eine Prüfung fallen;to fail an exam;провалити іспит;Wenn man nicht lernt, kann man durch die Prüfung fallen.
eine Qualifikation mitbringen;to bring qualifications / be qualified;мати кваліфікацію;Für diese Senior-Stelle muss man viel Erfahrung im Web-Bereich mitbringen.
einen Rat geben (+ Dat.);to give advice;давати пораду;Kannst du mir einen Rat bezüglich des DB-Designs geben?
Rechenschaft ablegen über (+ Akk.);to give an account of;звітувати про;Der Projektleiter muss Rechenschaft über das verbrauchte Budget ablegen.
zur Rechenschaft ziehen für (+ Akk.);to hold accountable for;притягати до відповідальності за;Wir werden den Provider für den stundenlangen Ausfall zur Rechenschaft ziehen.
in Rechnung stellen;to invoice / charge;виставляти рахунок за;Wir werden dem Kunden die zusätzlich geleisteten Stunden in Rechnung stellen.
eine Rede halten über (+ Akk.);to give a speech about;виголошувати промову про, виступати з доповіддю;Der CEO wird auf der Konferenz eine Rede über KI halten.
in eine Reihenfolge bringen;to put in order;упорядковувати, вибудовувати в послідовність;Wir müssen die Tasks im Backlog in eine logische Reihenfolge bringen.
den Respekt verlieren vor (+ Dat.);to lose respect for;втрачати повагу до;Ich habe den Respekt vor seiner fachlichen Meinung verloren.
Rückmeldung geben (+ Dat.);to give feedback;давати зворотний зв'язок;Gib mir bitte Rückmeldung, sobald du das neue Design getestet hast.
Rücksicht nehmen auf (+ Akk.);to show consideration for;зважати на, брати до уваги (чиїсь інтереси);Wir müssen Rücksicht auf die Ladezeiten für mobile User nehmen.
die Ruhe bewahren;to keep calm;зберігати спокій;Trotz des Server-Absturzes hat das Team die Ruhe bewahrt.
Schluss machen mit (+ Dat.);to put an end to;покінчити з, припинити;Wir müssen endlich Schluss mit diesen ineffizienten Meetings machen.
zur Sprache bringen;to bring up / voice;піднімати тему, заводити розмову про;Ich werde das Problem mit der CI/CD-Pipeline im Daily zur Sprache bringen.
Stellung nehmen zu (+ Dat.);to take a stand on / comment;висловити свою позицію щодо;Der CTO wird morgen zu den Sicherheitslücken Stellung nehmen.
unter Strafe stehen;to be punishable;підлягати покаранню, каратися законом;Das illegale Kopieren von Software steht unter Strafe.
unter Strafe stellen;to make punishable;карати за;Der Gesetzgeber hat den Datenmissbrauch unter Strafe gestellt.
in Streik treten;to go on strike;оголошувати страйк, починати страйк;Die Mitarbeiter der Support-Abteilung sind in Streik getreten.
Stress haben mit (+ Dat.);to have stress with;мати стрес через, проблеми з;Ich habe aktuell ziemlich viel Stress mit dem neuen Release.
unter Stress stehen;to be under stress;перебувати під стресом;Das Tech-Team steht vor der Deadline extrem unter Stress.
eine Tätigkeit ausüben;to practice an activity / work;провадити діяльність, виконувати роботу;Als Software-Entwickler übe ich eine sitzende Tätigkeit aus.
im Trend liegen;to be trendy;бути в тренді;Mobile-First-Designs und KI-Integrationen liegen aktuell voll im Trend.
einen Überblick bekommen;to get an overview;отримати загальне уявлення;Ich muss mir erst einen Überblick über die bestehende Codebase verschaffen.
einen Überblick geben;to give an overview;надати огляд;Kannst du mir bitte einen schnellen Überblick über die neuen Features geben?
einen Unterschied machen;to make a difference;мати значення, створювати різницю;Ob wir CSS Grid або Flexbox nutzen, macht in diesem Fall keinen Unterschied.
eine Verabredung treffen;to make an appointment/agreement;домовлятися про зустріч/угоду;Wir haben eine Verabredung mit dem Kunden für Montag getroffen.
die Verantwortung übernehmen für (+ Akk.);to take responsibility for;брати на себе відповідальність за;Der Projektleiter übernimmt die Verantwortung für das Deployment.
sich in Verbindung setzen mit (+ Dat.);to get in touch with;зв'язатися з;Bitte setze dich morgen mit dem Support-Team in Verbindung.
eine Vereinbarung treffen;to make an agreement;укладати угоду, домовлятися;Wir haben eine Vereinbarung über die wöchentlichen Arbeitszeiten getroffen.
zur Verfügung stehen;to be available;бути в розпорядженні, бути доступним;Das neue Tool steht allen Entwicklern ab sofort zur Verfügung.
zur Verfügung stellen;to provide / make available;надавати, ставити в розпорядження;Der Provider stellt uns unbegrenzten Cloud-Speicher zur Verfügung.
in Verhandlungen stehen;to be in negotiations;вести переговори;Wir stehen bereits в Verhandlungen mit einem neuen Cloud-Anbieter.
in Verhandlungen treten;to enter into negotiations;вступати в переговори;Wir wollen nächste Woche mit dem Kunden in Verhandlungen treten.
ein Versprechen geben;to make a promise;давати обіцянку;Wir haben dem Kunden das Versprechen gegeben, das System zu stabilisieren.
einen Vertrag abschließen mit (+ Dat.);to sign a contract with;укладати договір з;Die Firma hat einen Vertrag mit AWS abgeschlossen.
Vertrauen herstellen;to build trust;налагоджувати довіру;Gute Kommunikation hilft, Vertrauen zum Kunden herzustellen.
Vorbereitungen treffen;to make preparations;робити приготування, готуватися;Wir müssen rechtzeitig alle Vorbereitungen für das Deployment treffen.
im Vordergrund stehen;to be in the foreground / prioritized;стояти на першому плані, бути пріоритетом;Bei diesem Update steht die Systemstabilität im Vordergrund.
einen Vorschlag machen;to make a suggestion;робити пропозицію, пропонувати;Ich möchte einen Vorschlag zur Optimierung der Datenbank machen.
einen Vorschlag unterbreiten;to submit a proposal;подавати пропозицію (офіційно);Der Architekt hat dem Team einen neuen Vorschlag unterbreitet.
Vorsorge treffen für (+ Akk.);to make provisions for;вживати запобіжних заходів;Wir müssen rechtzeitig Vorsorge für den Ernstfall treffen (Backup).
eine Wahl treffen;to make a choice;робити вибір;Wir müssen eine Wahl zwischen React und Vue treffen.
im Wettbewerb stehen mit (+ Dat.);to compete with;конкурувати з;Unser E-Commerce-System steht mit großen Plattformen im Wettbewerb.
Wert legen auf (+ Akk.);to attach importance to / value;надавати великого значення (чомусь);Wir legen großen Wert auf sauberen und lesbaren Code.
Wertschätzung genießen;to be appreciated;користуватися повагою/визнанням;Gute Entwickler genießen in unserer Firma hohe Wertschätzung.
Widerstand leisten gegen (+ Akk.);to offer resistance to;чинити опір (комусь/чомусь);Die Legacy-Software leistet hartnäckigen Widerstand gegen Modernisierungen.
Wirkung zeigen;to show effect;дати результат, мати ефект;Die Performance-Optimierungen zeigen bereits deutliche Wirkung.
das Wort ergreifen;to take the floor / speak;брати слово, починати говорити;Der Lead Developer ergriff das Wort und erklärte den Bug.
ein Ziel setzen;to set a goal;ставити ціль;Wir haben uns das Ziel gesetzt, die Ladezeit zu halbelieren.
ein Ziel verfolgen;to pursue a goal;переслідувати ціль, іти до мети;Wir verfolgen das Ziel, den Code vollständig abzusichern.
eine Zusage erhalten;to receive approval / confirmation;отримати згоду, підтвердження;Wir haben die Zusage für das zusätzliche Budget erhalten.
im Zusammenhang stehen mit (+ Dat.);to be related to / associated with;бути пов'язаним із;Der Server-Absturz steht im Zusammenhang mit dem gestrigen Update.
