#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
steigen (stieg, ist gestiegen);steigen;to rise, to climb;підніматися, зростати;Die Nachfrage nach Sicherheitsexperten ist in den letzten Jahren stark gestiegen.
teil|nehmen an (+ Dat.) (nimmt teil, nahm teil, hat teilgenommen);teil|nehmen an;to participate in;брати участь;Nächste Woche nehme ich an einem Hackathon in Berlin teil.
der Umsatz, "-e;der Umsatz;revenue, turnover;оборот, виручка;Der Umsatz unseres Software-as-a-Service-Produkts hat sich dieses Jahr verdofft.
die Umschulung, -en;die Umschulung;retraining;перекваліфікація;Nach meiner Karriere im Marketing mache ich eine Umschulung zum Webentwickler.
wahrscheinlich;wahrscheinlich;probably;ймовірно;Die Migration zur neuen Datenbank wird wahrscheinlich das ganze Wochenende dauern.
die Weiterbildung, -en;die Weiterbildung;further education;підвищення кваліфікації;In der IT-Welt ist kontinuierliche Weiterbildung die Basis für beruflichen Erfolg.
der Antrag, "-e;der Antrag;application, request;заява;Ich habe einen Antrag auf Zugriffsberechtigung für den Produktionsserver gestellt.
einen Antrag stellen (stellt, stellte, hat gestellt);einen Antrag stellen;to submit an application;падавати заяву;Sie müssen einen Antrag stellen, um das neue Grafiktablett aus dem IT-Bestand zu erhalten.
die Aufenthaltsgenehmigung, -en;die Aufenthaltsgenehmigung;residence permit;посвідка на проживання;Für das Visum als Blue-Card-Inhaber benötige ich eine gültige Aufenthaltsgenehmigung.
auf|wachsen (wächst auf, wuchs auf, ist aufgewachsen);auf|wachsen;to grow up;виростати;Er ist im Silicon Valley aufgewachsen und hat schon früh mit dem Programmieren begonnen.
der Berater, - / die Beraterin, -nen;der Berater;advisor, counselor;консультант/-ка;Der externe IT-Berater analysiert unsere aktuelle Netzwerkstruktur.
jdn. beschäftigen (beschäftigt, beschäftigte, hat beschäftigt);beschäftigen;to employ someone;мати у штаті, займати когось;Unser Unternehmen beschäftigt weltweit über 500 Softwarearchitekten.
der Businessplan, "-e;der Businessplan;business plan;бізнес-план;Bevor wir Investoren für unsere App suchen, brauchen wir einen soliden Businessplan.
das Einkommen, -;das Einkommen;income;дохід;Das Einkommen als Freelancer in der Softwareentwicklung variiert je nach Projektlage.
die Entscheidung, -en;die Entscheidung;decision;рішення;Die Entscheidung, auf Rust umzusteigen, war für die Performance der App entscheidend.
eine Entscheidung treffen (trifft, traf, hat getroffen);eine Entscheidung treffen;to make a decision;прийти до рішення;Das Management muss endlich eine Entscheidung bezüglich des Cloud-Providers treffen.
die Existenzgründung, -en;die Existenzgründung;founding of a business;заснування власної справи;Er plant eine Existenzgründung mit einer innovativen KI-Lösung für den E-Commerce.
die Fortbildung, -en;die Fortbildung;advanced training;підвищення кваліфікації;Nächsten Monat besuche ich eine Fortbildung zum Thema Containerisierung mit Docker.
eine Fortbildung machen (macht, machte, hat gemacht);eine Fortbildung machen;to do a training;проходити курс підвищення кваліфікації;Ich möchte eine Fortbildung machen, um mich auf IT-Sicherheit zu spezialisieren.
(ein Unternehmen) gründen (gründet, gründete, hat gegründet);gründen;to found (a company);засновувати (компанію);Sie möchten ein Startup gründen, das Blockchain-Technologie für Lieferketten nutzt.
einen Kredit bewilligen (bewilligt, bewilligte, hat bewilligt);einen Kredit bewilligen;to approve a loan;надавати кредит;Die Bank hat den Kredit für die neue Hardware-Ausstattung bewilligt.
der Küchenhelfer, - / die Küchenhelferin, -nen;der Küchenhelfer;kitchen assistant;кухонний помічник/-ниця;In unserer Kantine nutzt der Küchenhelfer ein Tablet, um Bestellungen zu verwalten.
sich selbstständig machen;sich selbstständig machen;to go self-employed;почати власну справу;Nach zehn Jahren Festanstellung möchte ich mich als IT-Consultant selbstständig machen.
die Selbstständigkeit (Sg.);die Selbstständigkeit;self-employment;самостійність, самозайнятість;Die Selbstständigkeit erfordert gute Kenntnisse in Projektmanagement und Buchhaltung.
überlegen (überlegt, überlegte, hat überlegt);überlegen;to consider, to think about;обмірковувати;Wir überlegen, ob wir die gesamte Backend-Infrastruktur auf Serverless umstellen.
Verantwortung tragen for (+ Akk.);Verantwortung tragen for;to bear responsibility;нести відповідальність;Als CTO trage ich die Verantwortung für alle technischen Entscheidungen im Unternehmen.
etw. anerkennen lassen;anerkennen lassen;to have something recognized;визнавати (напр. диплом);Ich muss meine ausländischen IT-Zertifikate in Deutschland anerkennen lassen.
der Berufsabschluss, "-e;der Berufsabschluss;vocational qualification;професійна освіта;Ein staatlich anerkannter Berufsabschluss ist oft Voraussetzung für eine Anstellung im öffentlichen Dienst.
die Berufsausbildung, -en;die Berufsausbildung;vocational training;професійна освіта;Während meiner Berufsausbildung habe ich verschiedene Programmiersprachen gelernt.
etw. beschließen (beschließt, beschloss, hat beschlossen);beschließen;to decide on, to resolve;вирішувати, постановити;Wir haben beschlossen, das nächste Projekt mit der agilen Scrum-Methode umzusetzen.
das Zeugnis, -se;das Zeugnis;report card, certificate;свідоцтво, атестат;Ich habe mein Arbeitszeugnis als PDF für die Bewerbung hochgeladen.
die Anerkennung, -en;die Anerkennung;recognition;визнання;Die Anerkennung meiner Masterurkunde war für das Visum als Fachkraft notwendig.
das Anerkennungsverfahren, -;das Anerkennungsverfahren;recognition process;процедура визнання;Das Anerkennungsverfahren kann online über das Portal der IHK verfolgt werden.
die Arbeitserlaubnis, -se;die Arbeitserlaubnis;work permit;дозвіл на роботу;Ohne eine gültige Arbeitserlaubnis darf man in Deutschland nicht als Entwickler arbeiten.
die Fachkraft, "-e;die Fachkraft;specialist;спеціаліст;In Deutschland herrscht ein großer Mangel an Fachkräften im Bereich Cybersicherheit.
die Kompetenz, -en;die Kompetenz;competence, skill;компетенція, навичка;Problemlösungskompetenz ist eine der wichtigsten Eigenschaften eines Programmierers.
Kosten übernehmen (übernimmt, übernahm, hat übernommen);Kosten übernehmen;to cover costs;брати на себе витрати;Mein Arbeitgeber wird die Kosten für die Microsoft-Zertifizierung übernehmen.
der Nachweis, -e;der Nachweis;proof, evidence;доказ, підтвердження;Als Nachweis meiner Erfahrung habe ich mein GitHub-Portfolio im Lebenslauf verlinkt.
das Praktikum, Praktika;das Praktikum;internship;практика;Ich mache ein dreimonatiges Praktikum in der Qualitätssicherung eines Softwarehauses.
die Qualifikation, -en;die Qualifikation;qualification;кваліфікація;Welche zusätzlichen Qualifikationen werden für die Stelle als Cloud-Engineer gefordert?
reglementiert;reglementiert;regulated;регламентований;Der Beruf des Softwareentwicklers ist in Deutschland glücklicherweise nicht reglementiert.
die Unterlage, -n;die Unterlage;document;документ;Bitte laden Sie alle relevanten Unterlagen in das Bewerberportal hoch.
etw. vergleichen mit (+ Dat.);vergleichen mit;to compare with;порівнювати;Wir müssen die Performance der verschiedenen Datenbanken miteinander vergleichen.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;der Ansprechpartner;contact person;контактна особа;Unser Ansprechpartner für das API-Gateway ist heute leider nicht verfügbar.
der Aushang, "-e;der Aushang;notice, posting;оголошення;Ich habe den digitalen Aushang im Firmen-Intranet über das neue Slack-Update gesehen.
das Bewerbungsschreiben, -;das Bewerbungsschreiben;letter of application;заява про прийняття на роботу;In Ihrem Bewerbungsschreiben sollten Sie Ihre Erfahrung mit Cloud-Technologien hervorheben.
das Bewerbungsverfahren, -;das Bewerbungsverfahren;application process;процес подання заявки;Das Bewerbungsverfahren für die Stelle als DevOps-Engineer umfasst drei technische Interviews.
der Eindruck, "-e;der Eindruck;impression;враження;Die neue Architektur der mobilen App macht einen sehr modernen Eindruck.
die Elektrofirma, -firmen;die Elektrofirma;electrical company;електротехнічна фірма;Die Elektrofirma installiert die neue unterbrechungsfreie Stromversorgung (USV) in unserem Rechenzentrum.
erwarten (erwartet, erwartete, hat erwartet);erwarten;to expect;очікувати;Von einem Senior-Entwickler erwarten wir fundierte Kenntnisse in Design Patterns.
das Fachpersonal (Sg.);das Fachpersonal;skilled personnel;кваліфікований персонал;Unser Unternehmen investiert stark in Fachpersonal für künstliche Intelligenz.
fehlerfrei;fehlerfrei;error-free;без помилок;Ein fehlerfreier Code ist die Voraussetzung für eine erfolgreiche CI/CD-Pipeline.
die Initiativbewerbung, -en;die Initiativbewerbung;unsolicited application;ініціативна заявка;Ich habe eine Initiativbewerbung an das IT-Sicherheitszentrum geschickt.
die Installateurfirma, -firmen;die Installateurfirma;plumbing company;сантехнічна фірма;Die Installateurfirma wartet das Kühlsystem für unsere Hochleistungsserver.
die Konkurrenz (Sg.);die Konkurrenz;competition;конкуренція;In der Tech-Branche ist die Konkurrenz um die besten Talente extrem hoch.
der Leiharbeiter, - / die Leiharbeiterin, -nen;der Leiharbeiter;temporary worker;тимчасовий працівник/-ця;Wir haben einen Leiharbeiter für das kurzfristige Datenmigrationsprojekt eingestellt.
das Leitbild, -er;das Leitbild;mission statement;місія, девіз компанії;Das Leitbild unseres Startups ist die Demokratisierung von Daten durch Open Source.
der Stand der Dinge;der Stand der Dinge;state of affairs;стан справ;Können Sie mir beim nächsten Daily Stand-up den aktuellen Stand der Dinge zum Bug-Fixing geben?
einen Termin bestätigen (bestätigt, bestätigte, hat bestätigt);einen Termin bestätigen;to confirm an appointment;підтверджувати зустріч;Bitte bestätigen Sie den Termin for die Produktdemo über den Kalender-Link.
die Unterlage, -n;die Unterlage;document;документ;Bitte laden Sie alle technischen Unterlagen in den gemeinsamen Sharepoint-Ordner hoch.
die Wartezeit, -en;die Wartezeit;waiting time;час очікування;Die Wartezeit für das Rendern des 4K-Videos beträgt etwa zwei Stunden.
die Zeitarbeitsfirma, -en;die Zeitarbeitsfirma;temporary employment agency;агентство з працевлаштування;Die Zeitarbeitsfirma hat uns kurzfristig einen Spezialisten für Datenbanken vermittelt.
zukünftig;zukünftig;future;майбутній;In der zukünftigen Version der Software wird eine Zwei-Faktor-Authentifizierung standardmäßig aktiviert sein.
die Arbeitskraft, "-e;die Arbeitskraft;worker, manpower;робоча сила;Automatisierung reduziert den Bedarf an manueller Arbeitskraft bei Routineaufgaben.
das Arbeitsverhältnis, -se;das Arbeitsverhältnis;employment relationship;трудові відносини;Das unbefristete Arbeitsverhältnis bietet dem Softwareentwickler eine hohe Sicherheit.
ausleihen (leiht aus, lieh aus, hat ausgeliehen);ausleihen;to lend, to borrow;позичати, віддавати в оренду;Man kann sich moderne VR-Brillen in der IT-Abteilung für Testzwecke ausleihen.
die Berufsberatung, -en;die Berufsberatung;vocational guidance;професійна консультація;Die Berufsberatung empfiehlt jungen Leuten oft ein Studium der Informatik.
die Berufserfahrung, -en;die Berufserfahrung;professional experience;професійний досвід;Er bringt über zehn Jahre Berufserfahrung im Bereich Full-Stack-Entwicklung mit.
beschäftigen (beschäftigt, beschäftigte, hat beschäftigt);beschäftigen;to employ;займати, працевлаштовувати;Das System beschäftigt sich derzeit mit der Indizierung der großen Datenbank.
die Beschäftigung (Sg.);die Beschäftigung;employment;зайнятість;Die Beschäftigung mit dem Thema Machine Learning erfordert viel mathematisches Verständnis.
der Betrieb, -e;der Betrieb;business, company;підприємство;Der Betrieb läuft nach dem Hardware-Upgrade wieder reibungslos.
die Genehmigung, -en;die Genehmigung;permission, permit;дозвіл;Wir warten noch auf die offizielle Genehmigung der IT-Leitung für den Kauf der neuen Lizenzen.
die Leiharbeit (Sg.);die Leiharbeit;temporary work;тимчасова праця;Leiharbeit kann für IT-Freelancer eine gute Möglichkeit sein, verschiedene Unternehmen kennenzulernen.
staatlich;staatlich;state, public;державний;Das staatliche Amt für Cybersicherheit hat eine Warnung vor einem neuen Computervirus herausgegeben.
die Tätigkeit, -en;die Tätigkeit;activity, task;діяльність;Zu meinen täglichen Tätigkeiten gehört das Schreiben von Unit-Tests und das Bugtracking.
einen Termin vereinbaren (vereinbart, vereinbarte, hat vereinbart);einen Termin vereinbaren;to make an appointment;домовлятися про зустріч;Ich möchte einen Termin mit dem Product Owner vereinbaren, um die User Stories zu besprechen.
verleihen (verleiht, verlieh, hat verliehen);verleihen;to lend;позичати, надавати;Das Rechenzentrum verleiht Rechenleistung an kleinere Startups.
die Vermittlung, -en;die Vermittlung;placement, mediation;працевлаштування, посередництво;Die Vermittlung von IT-Fachkräften erfolgt oft über spezialisierte Headhunter-Agenturen.
die Vermittlungsgebühr, -en;die Vermittlungsgebühr;placement fee;комісія за працевлаштування;Die Firma zahlt eine hohe Vermittlungsgebühr für einen erfahrenen Softwarearchitekten.
der Agraringenieur, -e / die Agraringenieurin, -nen;der Agraringenieur;agricultural engineer;агроном-інженер/-ка;Der Agraringenieur nutzt Drohnen und IoT-Sensoren zur Optimierung der Bewässerung.
der Arbeitseinsatz, "-e;der Arbeitseinsatz;work assignment;використання робочої сили;Der Arbeitseinsatz der Entwickler wird über ein agiles Jira-Board gesteuert.
der Bereich, -e;der Bereich;area, field;сфера, галузь;In welchem Bereich der Informatik möchtest du dich spezialisieren?
die Bereitschaft (Sg.);die Bereitschaft;readiness, willingness;готовність;Die Bereitschaft zur Wochenendarbeit ist bei kritischen Systemumstellungen notwendig.
der Einsatzort, -e;der Einsatzort;place of assignment;місце роботи (відрядження);Mein aktueller Einsatzort ist das Headquarter der IT-Firma in San Francisco.
examiniert;examiniert;qualified, examined;дипломований;Wir suchen examiniertes Fachpersonal für die Wartung medizinischer IT-Systeme.
das Familienunternehmen, -;das Familienunternehmen;family business;сімейне підприємство;Das mittelständische Familienunternehmen plant die Digitalisierung seiner gesamten Produktion.
der Informatiker, - / die Informatikerin, -nen;der Informatiker;IT specialist;інформатик/-иця;Der Informatiker optimiert den Algorithmus für eine schnellere Datenverarbeitung.
der Ingenieur, -e / die Ingenieurin, -nen;der Ingenieur;engineer;інженер/-ка;Der Ingenieur entwickelt neue Hardwarekomponenten für Quantencomputer.
innovativ;innovativ;innovative;інноваційний;Unsere Firma bietet innovative Cloud-Lösungen für kleine und mittlere Unternehmen an.
die Karrierechance, -n;die Karrierechance;career opportunity;шанс на кар'єру;Internationale Tech-Konzerne bieten hervorragende Karrierechancen für ehrgeizige Entwickler.
die Kommunikationsfähigkeit, -en;die Kommunikationsfähigkeit;communication skills;комунікабельність;Gute Kommunikationsfähigkeit ist bei der Zusammenarbeit in verteilten Teams unerlässlich.
der Kundenservice (Sg.);der Kundenservice;customer service;служба підтримки клієнтів;Der Kundenservice wird durch einen KI-basierten Chatbot unterstützt.
die Pflegekraft, "-e;die Pflegekraft;caregiver, nurse;медпрацівник (з догляду);Die moderne Klinik verwendet digitale Tools, um die Pflegekraft bei der Dokumentation zu entlasten.
der Pflegeservice (Sg.);der Pflegeservice;care service;служба догляду;Ein digitaler Pflegeservice ermöglicht die Fernüberwachung von Patientendaten.
der Sicherheitsmitarbeiter, - / die Sicherheitsmitarbeiterin, -nen;der Sicherheitsmitarbeiter;security officer;співробітник/-ця безпеки;Der Sicherheitsmitarbeiter überwacht den physischen Zugang zum Serverraum.
der Teamgeist (Sg.);der Teamgeist;team spirit;командний дух;Ein starker Teamgeist führt oft zu kreativeren Ansätzen in der Softwareentwicklung.
die Verantwortung (Sg.);die Verantwortung;responsibility;відповідальність;Ein Chief Information Security Officer trägt eine enorme Verantwortung für den Datenschutz.
der Verkäufer, - / die Verkäuferin, -nen;der Verkäufer;salesperson;продавець/-чиня;Der Verkäufer erklärt dem Kunden die technischen Spezifikationen des neuen High-End-PCs.
die Verstärkung, -en;die Verstärkung;reinforcement, addition to the team;підкріплення, новий співробітник;Wir suchen dringend Verstärkung für unser Frontend-Team im Bereich React.
die Zukunftsperspektive, -n;die Zukunftsperspektive;future prospect;перспектива на майнє;Die Arbeit im Bereich Cybersicherheit bietet eine exzellente Zukunftsperspektive.
die Zusammenarbeit (Sg.);die Zusammenarbeit;cooperation;співпраця;Die erfolgreiche Zusammenarbeit zwischen Designer und Entwickler ist entscheidend für das UI/UX Design.
zuständig;zuständig;responsible;відповідальний;Wer ist in eurem Team für die Code-Qualität zuständig?
das Bauvorhaben, -;das Bauvorhaben;construction project;будівельний проект;Beim neuen Bauvorhaben wird auch ein modernes Glasfasernetz für das gesamte Bürogebäude verlegt.
die Berufsausbildung, -en;die Berufsausbildung;vocational training;професійна освіта;Ich habe meine Berufsausbildung zum mathematisch-technischen Softwareentwickler abgeschlossen.
der Einsatz, "-e;der Einsatz;assignment, mission;виконання завдання;Der weltweite Einsatz unserer Software zeigt ihre hohe Skalierbarkeit.
das Einverständnis, -se;das Einverständnis;consent, agreement;згода;Wir benötigen das Einverständnis des Nutzers für die Verarbeitung seiner personenbezogenen Daten.
der Fachinformatiker, - / die Fachinformatikerin, -nen;der Fachinformatiker;IT specialist;фахівець/-чиня з інформатики;Als Fachinformatiker für Anwendungsentwicklung schreibe ich täglich Code in C#.
die Krankheitsvertretung, -en;die Krankheitsvertretung;sick leave cover;заміна на час хвороби;Er übernimmt kurzfristig die Krankheitsvertretung für den Lead-Architekten.
der Realschulabschluss, "-e;der Realschulabschluss;secondary school certificate;атестат про закінчення реальної школи;Mit einem guten Realschulabschluss kann man eine Ausbildung zum IT-Systemkaufmann beginnen.
die Urlaubsvertretung, -en;die Urlaubsvertretung;holiday replacement;заміна на час відпустки;Könntest du während meiner Abwesenheit meine Urlaubsvertretung für die Serverwartung machen?
der Zeitraum, "-e;der Zeitraum;period of time;період часу;In dem Zeitraum zwischen 2:00 und 4:00 Uhr morgens finden Wartungsarbeiten am Netzwerk statt.
der Empfang, "-e;der Empfang;reception;прийом, рецепція;Alle externen Dienstleister müssen sich am Empfang anmelden, um einen Besucherausweis zu erhalten.
die Personalabteilung, -en;die Personalabteilung;HR department;відділ кадрів;Die Personalabteilung nutzt eine Web-App zur Verwaltung der Urlaubstage.
die Kantine, -n;die Kantine;canteen;їдальня;In unserer Kantine gibt es kostenloses WLAN für alle Mitarbeiter.
das Lager, -;das Lager;warehouse;склад;Wir müssen die neuen Grafikkarten für die Workstations im Lager inventarisieren.
die Produktion (Sg.);die Produktion;production;виробництво;Die gesamte Produktion wird jetzt durch ein KI-gesteuertes System überwacht.
die Forschung, -en;die Forschung;research;дослідження;Unser Team in der Forschung arbeitet an neuen Algorithmen für die Datenkompression.
die Entwicklung, -en;die Entwicklung;development;розробка;Die Entwicklung der neuen API-Schnittstelle ist fast abgeschlossen.
der Betriebsrat, "-e / die Betriebsrätin, -nen;der Betriebsrat;works council (member);виробнича рада / членкиня ради;Der Betriebsrat prüft die neue Software zur Überwachung der Homeoffice-Zeiten.
die Geschäftsführung, -en;die Geschäftsführung;management;керівництво;Die Geschäftsführung hat grünes Licht für den Umzug in die Cloud gegeben.
die Finanzbuchhaltung, -en;die Finanzbuchhaltung;financial accounting;бухгалтерія;Die Finanzbuchhaltung benötigt die Rechnung für die neuen Serverlizenzen.
die Einarbeitung, -en;die Einarbeitung;induction, orientation;введення в курс справи (стажування);Während der Einarbeitung lernst du unsere internen Coding-Standards kennen.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;der Ansprechpartner;contact person;контактна особа;Bei technischen Problemen ist der Systemadministrator Ihre erste Kontaktperson.
die Pausenregelung, -en;die Pausenregelung;break policy;правило перерв;Die digitale Zeiterfassung sorgt dafür, dass die Pausenregelung automatisch eingehalten wird.
der Rundgang, "-e;der Rundgang;tour (of a building);обхід, екскурсія;Nach dem Rundgang durch das Rechenzentrum haben wir die Kühlsysteme besprochen.
sich weiter|bilden (bildet sich weiter, bildete sich weiter, hat sich weitergebildet);sich weiter|bilden;to continue education;підвищувати кваліфікацію;In der IT-Branche muss man sich ständig weiterbilden, um auf dem neuesten Stand zu bleiben.
sich ärgern über (+ Akk.) (ärgert sich, ärgerte sich, hat sich geärgert);sich ärgern über;to be annoyed about;сердитися через;Ich ärgere mich über den langsamen Datenbank-Server.
der Berufsalltag (Sg.);der Berufsalltag;professional life;професійні будні;Der Berufsalltag eines Programmierers besteht oft aus Coding und Bugfixing.
die Erfahrung, -en;die Erfahrung;experience;досвід;Wir suchen jemanden mit viel Erfahrung in der Cloud-Architektur.
Erfahrung haben mit (+ Dat.);Erfahrung haben mit;to have experience with;мати досвід у;Hast du bereits Erfahrung mit der Containerisierung von Anwendungen?
sich freuen auf (+ Akk.) (freut sich, freute sich, hat sich gefreut);sich freuen auf;to look forward to;чекати з нетерпінням (на щось у майбутньому);Ich freue mich auf den Release der neuen Software-Version.
sich freuen über (+ Akk.);sich freuen über;to be happy about;радіти (чомусь, що вже є);Das Team freut sich über das positive Feedback der Beta-Tester.
gehören zu (+ Dat.) (gehört, gehörte, hat gehört);gehören zu;to belong to;належати до;Das Schreiben technischer Dokumentation gehört zu den Aufgaben eines Entwicklers.
es geht um (+ Akk.);es geht um;it's about;йдеться про;In diesem Meeting geht es um die Behebung kritischer Sicherheitslücken.
ein Gespräch führen (führt, führte, hat geführt);ein Gespräch führen;to lead a conversation;вести розмову;Wir müssen ein Gespräch über die Performance-Probleme der Website führen.
sich interessieren für (+ Akk.) (interessiert sich, interessierte sich, hat sich interessiert);sich interessieren für;to be interested in;цікавитися;Interessierst du dich for die Entwicklung mobiler Apps?
investieren in (+ Akk.) (investiert, investierte, hat investiert);investieren in;to invest in;інвестувати в;Unternehmen müssen mehr in die Cybersicherheit investieren.
statt|finden (fand statt, hat stattgefunden);statt|finden;to take place;відбуватися;Der tägliche Scrum-Call findet jeden Morgen um 9 Uhr statt.
etw. vermitteln (vermittelt, vermittelte, hat vermittelt);vermitteln;to convey, to mediate;передавати (знання), посередничати;Der Workshop vermittelt grundlegende Kenntnisse in der Python-Programmierung.
die Voraussetzung, -en;die Voraussetzung;requirement;умова, передумова;Gute SQL-Kenntnisse sind eine Voraussetzung für diesen Job.
die Webseite, -n;die Webseite;website;веб-сторінка;Die Webseite unseres Unternehmens wurde für mobile Endgeräte optimiert.
das Ergebnisprotokoll, -e;das Ergebnisprotokoll;minutes of a meeting;протокол результатів зустрічі;Ich habe das Ergebnisprotokoll des Sprints per E-Mail an das Team geschickt.
die Besprechung, -en;die Besprechung;meeting;нарада;In der Besprechung wurde die neue Cloud-Strategie vorgestellt.
die Teamsitzung, -en;die Teamsitzung;team meeting;командна нарада;Während der Teamsitzung haben wir die Aufgaben für die nächste Woche verteilt.
etw. zusammen|fassen (fasst zusammen, fasste zusammen, hat zusammengefasst);zusammen|fassen;to summarize;підсумовувати;Können Sie die wichtigsten Punkte der Anforderungsanalyse zusammenfassen?
der Beschluss, "-e;der Beschluss;decision;рішення, постанова;Der Beschluss, die Legacy-Software zu ersetzen, wurde gestern gefasst.
die Entscheidung, -en;die Entscheidung;decision;рішення;Die Entscheidung für das React-Framework war goldrichtig.
die Vereinbarung, -en;die Vereinbarung;agreement;угода, домовленість;Wir haben eine Vereinbarung über die Nutzung der Open-Source-Bibliotheken getroffen.
die Tagesordnung, -en;die Tagesordnung;agenda;порядок денний;Der Punkt "System-Sicherheit" steht heute ganz oben auf der Tagesordnung.
das Stichwort, -e;das Stichwort;keyword;ключове слово;Ich habe mir während des Vortrags nur ein paar Stichworte zum Thema Blockchain notiert.
etw. dokumentieren (dokumentiert, dokumentierte, hat dokumentiert);dokumentieren;to document;документувати;Bitte dokumentieren Sie alle Änderungen am Datenbank-Schema im Wiki.
etw. protokollieren (protokolliert, protokollierte, hat protokolliert);protokollieren;to record;протоколювати;Alle API-Aufrufe werden zu Analysezwecken protokolliert.
die Regel, -n;die Regel;rule;правило;In diesem Netzwerk gelten strenge Regeln für den Passwortschutz.
in der Regel;in der Regel;as a rule;як правило;In der Regel erfolgt das Deployment der neuen Version am Dienstagabend.
der Teilnehmer, - / die Teilnehmerin, -nen;der Teilnehmer;participant;учасник/-ця;An dem Web-Seminar nehmen über 100 Teilnehmer aus aller Welt teil.
etw. vor|schlagen (schlägt vor, schlug vor, hat vorgeschlagen);vor|schlagen;to suggest;пропонувати;Ich schlage vor, wir nutzen Docker für dieses Projekt.
der Zweifel, -;der Zweifel;doubt;сумнів;Ich habe keine Zweifel, dass wir die Deadline für die App einhalten.
etw. schaffen (schafft, schaffte, hat geschafft);schaffen;to manage;впоратися;Wir werden es schaffen, alle Fehler bis zum Wochenende zu beheben.
sich etw. merken (merkt sich, merkte sich, hat sich gemerkt);sich etw. merken;to remember;запам'ятовувати;Bitte merken Sie sich das neue Administratoren-Passwort gut.
die Pünktlichkeit (Sg.);die Pünktlichkeit;punctuality;пунктуальність;Pünktlichkeit ist auch bei virtuellen Meetings sehr wichtig.
die Begrüßung, -en;die Begrüßung;greeting;привітання;Die Begrüßung des neuen Programmierers erfolgte über einen Video-Call.
